"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deve criar uma reserva com Faker, excluí-la e confirmar que ela sumiu","1134","deveExcluirReservaComSucesso()","","Fri Feb 20 12:33:55 UTC 2026","passed","Fri Feb 20 12:33:56 UTC 2026","","Testes de Exclusão de Reserva","br.com.desafio.tests.BookingDeleteTest","deveExcluirReservaComSucesso"
"Deve retornar erro 404 ao buscar um ID aleatório que não existe","362","deveRetornarErroAoBuscarIdInexistente()","","Fri Feb 20 12:34:02 UTC 2026","passed","Fri Feb 20 12:34:02 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveRetornarErroAoBuscarIdInexistente"
"Deve alterar apenas o nome e sobrenome usando Faker e validar a integridade dos outros campos","761","deveAtualizarNomeESobrenomeParcialmente()","","Fri Feb 20 12:33:57 UTC 2026","passed","Fri Feb 20 12:33:58 UTC 2026","","Testes de Atualização Parcial (PATCH)","br.com.desafio.tests.BookingPatchTest","deveAtualizarNomeESobrenomeParcialmente"
"Deve retornar 403 (Forbidden) ao tentar atualizar usando dados Faker mas com token inválido","386","deveRetornarErroAoAtualizarSemToken()","","Fri Feb 20 12:33:58 UTC 2026","passed","Fri Feb 20 12:33:59 UTC 2026","","Testes de Atualização de Reserva","br.com.desafio.tests.BookingPutTest","deveRetornarErroAoAtualizarSemToken"
"Deve retornar 403 Forbidden ao tentar excluir uma reserva aleatória com token inválido","1037","deveRetornarErroAoExcluirSemToken()","","Fri Feb 20 12:33:54 UTC 2026","passed","Fri Feb 20 12:33:55 UTC 2026","","Testes de Exclusão de Reserva","br.com.desafio.tests.BookingDeleteTest","deveRetornarErroAoExcluirSemToken"
"Deve criar uma nova reserva usando Faker e validar se os dados retornados são os mesmos enviados","851","deveCriarReservaComSucesso()","","Fri Feb 20 12:33:52 UTC 2026","passed","Fri Feb 20 12:33:53 UTC 2026","","Testes de Criação de Reserva","br.com.desafio.tests.BookingPostTest","deveCriarReservaComSucesso"
"Deve criar uma reserva com Faker e buscá-la pelo ID para validar os detalhes","774","deveBuscarReservaPorId()","","Fri Feb 20 12:34:00 UTC 2026","passed","Fri Feb 20 12:34:01 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarReservaPorId"
"","348","Validar Health Check da API (Ping)","","Fri Feb 20 12:34:04 UTC 2026","passed","Fri Feb 20 12:34:04 UTC 2026","","Testes de Disponibilidade","br.com.desafio.tests.HealthCheckTest","deveVerificarSaudeDaApi"
"Deve atualizar todos os campos de uma reserva usando Faker e validar o retorno","809","deveAtualizarReservaComSucesso()","","Fri Feb 20 12:33:59 UTC 2026","passed","Fri Feb 20 12:33:59 UTC 2026","","Testes de Atualização de Reserva","br.com.desafio.tests.BookingPutTest","deveAtualizarReservaComSucesso"
"Deve retornar a lista de todos os booking IDs cadastrados","777","deveBuscarTodosOsBookings()","","Fri Feb 20 12:34:01 UTC 2026","passed","Fri Feb 20 12:34:02 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarTodosOsBookings"
"Deve criar uma reserva com Faker e filtrar a busca por esse nome e sobrenome","739","deveBuscarBookingsPorNome()","","Fri Feb 20 12:34:02 UTC 2026","passed","Fri Feb 20 12:34:03 UTC 2026","","Testes de Consulta de Reservas","br.com.desafio.tests.BookingGetTest","deveBuscarBookingsPorNome"
